"group","sourceDomain","approved","status","fullPoolShare","equalDomainShareIfEligible","caseWeightIfEligible"
"国际研究","www.nature.com","1830","strong","66.59%","6.67%","0.000036"
"国际研究","images.nasa.gov","95","strong","3.46%","6.67%","0.000702"
"其他来源","www.cas.cn","73","strong","2.66%","6.67%","0.000913"
"国内高校","www.tsinghua.edu.cn","58","strong","2.11%","6.67%","0.001149"
"国内高校","news.pku.edu.cn","57","strong","2.07%","6.67%","0.001170"
"国际研究","news.mit.edu","32","standard","1.16%","6.67%","0.002083"
"国际研究","news.harvard.edu","30","standard","1.09%","6.67%","0.002222"
"交大现状","news.sjtu.edu.cn","29","minimum","1.06%","6.67%","0.002299"
"交大现状","ime.sjtu.edu.cn","28","minimum","1.02%","6.67%","0.002381"
"国内高校","news.fudan.edu.cn","28","minimum","1.02%","6.67%","0.002381"
"其他来源","www.nigms.nih.gov","26","minimum","0.95%","6.67%","0.002564"
"国际研究","public.tableau.com","24","minimum","0.87%","6.67%","0.002778"
"国内高校","www.news.zju.edu.cn","23","minimum","0.84%","6.67%","0.002899"
"国际研究","news.stanford.edu","21","minimum","0.76%","6.67%","0.003175"
"国内高校","news.ustc.edu.cn","20","minimum","0.73%","6.67%","0.003333"
"其他来源","www.bilibili.com","19","below_minimum","0.69%","0.00%","0.000000"
"国际研究","nature.com","17","below_minimum","0.62%","0.00%","0.000000"
"国内高校","www.bit.edu.cn","15","below_minimum","0.55%","0.00%","0.000000"
"国内高校","news.hust.edu.cn","13","below_minimum","0.47%","0.00%","0.000000"
"国际研究","engineering.stanford.edu","12","below_minimum","0.44%","0.00%","0.000000"
"国际研究","www.mpg.de","12","below_minimum","0.44%","0.00%","0.000000"
"其他来源","www.usgs.gov","12","below_minimum","0.44%","0.00%","0.000000"
"国内高校","news.xjtu.edu.cn","11","below_minimum","0.40%","0.00%","0.000000"
"其他来源","science.nasa.gov","11","below_minimum","0.40%","0.00%","0.000000"
"国内高校","www.ri.cmu.edu","10","below_minimum","0.36%","0.00%","0.000000"
"国内高校","news.buaa.edu.cn","9","below_minimum","0.33%","0.00%","0.000000"
"其他来源","rpg.ifi.uzh.ch","9","below_minimum","0.33%","0.00%","0.000000"
"其他来源","www.fraunhofer.de","9","below_minimum","0.33%","0.00%","0.000000"
"交大现状","design.sjtu.edu.cn","8","below_minimum","0.29%","0.00%","0.000000"
"交大现状","oce.sjtu.edu.cn","8","below_minimum","0.29%","0.00%","0.000000"
"交大现状","www.seiee.sjtu.edu.cn","8","below_minimum","0.29%","0.00%","0.000000"
"交大现状","www.agri.sjtu.edu.cn","7","below_minimum","0.25%","0.00%","0.000000"
"其他来源","www.zhishifenzi.com","7","below_minimum","0.25%","0.00%","0.000000"
"企业参照","bostondynamics.com","6","below_minimum","0.22%","0.00%","0.000000"
"交大现状","imr.sjtu.edu.cn","6","below_minimum","0.22%","0.00%","0.000000"
"交大现状","tdli.sjtu.edu.cn","6","below_minimum","0.22%","0.00%","0.000000"
"企业参照","www.siemens-energy.com","6","below_minimum","0.22%","0.00%","0.000000"
"交大现状","cs.sjtu.edu.cn","5","below_minimum","0.18%","0.00%","0.000000"
"交大现状","loct.sjtu.edu.cn","5","below_minimum","0.18%","0.00%","0.000000"
"交大现状","msv.sjtu.edu.cn","5","below_minimum","0.18%","0.00%","0.000000"
"企业参照","news.bostonscientific.com","5","below_minimum","0.18%","0.00%","0.000000"
"交大现状","speit.sjtu.edu.cn","5","below_minimum","0.18%","0.00%","0.000000"
"其他来源","www.marin.nl","5","below_minimum","0.18%","0.00%","0.000000"
"企业参照","www.nvidia.com","5","below_minimum","0.18%","0.00%","0.000000"
"企业参照","www.zeiss.com","5","below_minimum","0.18%","0.00%","0.000000"
"交大现状","bme.sjtu.edu.cn","4","below_minimum","0.15%","0.00%","0.000000"
"交大现状","pharm.sjtu.edu.cn","4","below_minimum","0.15%","0.00%","0.000000"
"交大现状","soo.sjtu.edu.cn","4","below_minimum","0.15%","0.00%","0.000000"
"交大现状","www.aero.sjtu.edu.cn","4","below_minimum","0.15%","0.00%","0.000000"
"企业参照","www.siemens-healthineers.com","4","below_minimum","0.15%","0.00%","0.000000"
"其他来源","www.youtube.com","4","below_minimum","0.15%","0.00%","0.000000"
"企业参照","adsknews.autodesk.com","3","below_minimum","0.11%","0.00%","0.000000"
"交大现状","scce.sjtu.edu.cn","3","below_minimum","0.11%","0.00%","0.000000"
"交大现状","smse.sjtu.edu.cn","3","below_minimum","0.11%","0.00%","0.000000"
"企业参照","store.google.com","3","below_minimum","0.11%","0.00%","0.000000"
"企业参照","www.airbus.com","3","below_minimum","0.11%","0.00%","0.000000"
"企业参照","www.apple.com","3","below_minimum","0.11%","0.00%","0.000000"
"其他来源","www.janelia.org","3","below_minimum","0.11%","0.00%","0.000000"
"企业参照","www.kongsbergmaritime.com","3","below_minimum","0.11%","0.00%","0.000000"
"企业参照","www.mi.com","3","below_minimum","0.11%","0.00%","0.000000"
"企业参照","www.microsoft.com","3","below_minimum","0.11%","0.00%","0.000000"
"企业参照","www.unitree.com","3","below_minimum","0.11%","0.00%","0.000000"
"企业参照","developer.nvidia.com","2","below_minimum","0.07%","0.00%","0.000000"
"其他来源","distill.pub","2","below_minimum","0.07%","0.00%","0.000000"
"其他来源","distribution.epri.com","2","below_minimum","0.07%","0.00%","0.000000"
"交大现状","me.sjtu.edu.cn","2","below_minimum","0.07%","0.00%","0.000000"
"国际研究","newscenter.lbl.gov","2","below_minimum","0.07%","0.00%","0.000000"
"其他来源","prod-01-alb-www-noaa.woc.noaa.gov","2","below_minimum","0.07%","0.00%","0.000000"
"企业参照","research.google","2","below_minimum","0.07%","0.00%","0.000000"
"其他来源","top.epri.com","2","below_minimum","0.07%","0.00%","0.000000"
"其他来源","www.asminternational.org","2","below_minimum","0.07%","0.00%","0.000000"
"企业参照","www.asml.com","2","below_minimum","0.07%","0.00%","0.000000"
"企业参照","www.meta.com","2","below_minimum","0.07%","0.00%","0.000000"
"其他来源","www.mpie.de","2","below_minimum","0.07%","0.00%","0.000000"
"企业参照","www.qualcomm.com","2","below_minimum","0.07%","0.00%","0.000000"
"企业参照","www.veolia.com","2","below_minimum","0.07%","0.00%","0.000000"
"企业参照","www.xylem.com","2","below_minimum","0.07%","0.00%","0.000000"
"国内高校","news.hit.edu.cn","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","newsroom.arm.com","1","below_minimum","0.04%","0.00%","0.000000"
"交大现状","oe.sjtu.edu.cn","1","below_minimum","0.04%","0.00%","0.000000"
"交大现状","sese.sjtu.edu.cn","1","below_minimum","0.04%","0.00%","0.000000"
"交大现状","sklcm.sjtu.edu.cn","1","below_minimum","0.04%","0.00%","0.000000"
"其他来源","techportal.epri.com","1","below_minimum","0.04%","0.00%","0.000000"
"其他来源","thermocalc.com","1","below_minimum","0.04%","0.00%","0.000000"
"其他来源","transmission.epri.com","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","www.arup.com","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","www.autodesk.com","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","www.byd.com","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","www.cat.com","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","www.dji.com","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","www.dreametech.com","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","www.dyson.com","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","www.eaton.com","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","www.ecovacs.com","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","www.figure.ai","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","www.garmin.com","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","www.nio.cn","1","below_minimum","0.04%","0.00%","0.000000"
"交大现状","www.physics.sjtu.edu.cn","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","www.roborock.com","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","www.se.com","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","www.whoop.com","1","below_minimum","0.04%","0.00%","0.000000"
"企业参照","www.xpeng.com","1","below_minimum","0.04%","0.00%","0.000000"
"其他来源","wyss.harvard.edu","1","below_minimum","0.04%","0.00%","0.000000"